,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted,Adopted_prediction
3027,Dog,10,Jack Russell Terrier,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,0,No,Yes
3028,Dog,3,Mixed Breed,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,0,3,Yes,Yes
3029,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Not Sure,No,Healthy,0,3,Yes,No
3030,Cat,30,Domestic Short Hair,Male,Golden,No Color,Large,Short,Yes,Yes,Healthy,0,2,Yes,Yes
3031,Dog,1,Mixed Breed,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,2,Yes,No
3032,Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,4,Yes,No
3033,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,2,Yes,No
3034,Cat,7,Domestic Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,0,3,No,Yes
3035,Dog,36,Mixed Breed,Male,White,No Color,Medium,Short,Yes,No,Healthy,80,2,Yes,Yes
3036,Dog,16,Terrier,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,300,1,No,Yes
3037,Dog,8,Silky Terrier,Female,Gray,No Color,Medium,Long,Yes,No,Healthy,0,3,Yes,No
3038,Dog,15,Mixed Breed,Female,Black,No Color,Small,Short,Yes,No,Healthy,0,1,No,Yes
3039,Cat,3,Domestic Short Hair,Male,Gray,White,Small,Short,No,No,Healthy,0,7,Yes,No
3040,Dog,4,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,3,Yes,No
3041,Dog,1,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,20,1,Yes,No
3042,Dog,12,Border Collie,Female,Black,White,Medium,Medium,Yes,Yes,Healthy,30,10,Yes,No
3043,Cat,212,Domestic Short Hair,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,13,Yes,No
3044,Cat,1,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,No,Healthy,0,2,Yes,No
3045,Cat,24,Domestic Long Hair,Female,Golden,Cream,Small,Long,No,No,Healthy,100,4,No,No
3046,Cat,2,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,0,5,Yes,No
3047,Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
3048,Dog,2,Poodle,Female,Brown,No Color,Small,Short,No,No,Healthy,500,2,Yes,No
3049,Dog,60,Mixed Breed,Female,Golden,Yellow,Large,Medium,Not Sure,Not Sure,Healthy,0,5,No,Yes
3050,Dog,72,Siberian Husky,Male,Brown,Cream,Large,Long,Yes,No,Healthy,0,4,Yes,No
3051,Dog,4,Mixed Breed,Female,Cream,White,Medium,Short,Yes,Yes,Healthy,0,3,Yes,Yes
3052,Cat,2,Domestic Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,10,5,Yes,No
3053,Dog,84,Shih Tzu,Male,Brown,White,Medium,Medium,Not Sure,No,Healthy,200,3,Yes,No
3054,Dog,2,Dalmatian,Male,Black,White,Large,Short,Yes,No,Healthy,300,4,Yes,No
3055,Dog,6,Mixed Breed,Female,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,6,Yes,Yes
3056,Cat,1,Domestic Medium Hair,Female,Black,Cream,Small,Medium,No,No,Healthy,0,5,Yes,No
3057,Dog,4,Mixed Breed,Female,Black,Brown,Small,Medium,Yes,No,Healthy,0,2,Yes,Yes
3058,Cat,3,Domestic Short Hair,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,2,No,No
3059,Cat,6,Abyssinian,Female,Black,Gray,Small,Long,Not Sure,Not Sure,Minor Injury,0,3,Yes,No
3060,Cat,4,Domestic Short Hair,Male,Brown,Golden,Small,Short,No,No,Healthy,0,4,Yes,No
3061,Dog,60,Poodle,Female,Brown,No Color,Small,Short,Yes,Yes,Minor Injury,0,4,Yes,No
3062,Dog,48,Schnauzer,Female,Gray,No Color,Small,Medium,Yes,Yes,Healthy,300,0,No,Yes
3063,Dog,36,Terrier,Female,Black,Gray,Small,Long,Yes,Yes,Healthy,0,2,Yes,No
3064,Cat,3,Domestic Short Hair,Male,Black,White,Medium,Short,Not Sure,Not Sure,Healthy,0,6,Yes,No
3065,Dog,3,Terrier,Female,Black,Brown,Large,Medium,Yes,No,Healthy,0,9,Yes,No
3066,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,No
3067,Cat,12,Domestic Short Hair,Male,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,4,Yes,Yes
3068,Dog,1,Mixed Breed,Female,Brown,Golden,Small,Medium,No,No,Healthy,0,5,Yes,No
3069,Cat,2,Domestic Short Hair,Male,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,4,Yes,No
3070,Cat,1,Domestic Short Hair,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,No
3071,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,5,Yes,No
3072,Cat,3,Chausie,Male,Brown,Golden,Small,Short,Not Sure,Not Sure,Healthy,0,1,No,Yes
3073,Cat,2,Domestic Short Hair,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,25,Yes,No
3074,Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,No
3075,Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,3,Yes,No
3076,Cat,2,Domestic Short Hair,Male,Brown,White,Small,Short,No,No,Healthy,0,5,Yes,No
3077,Cat,2,Domestic Medium Hair,Male,Yellow,White,Medium,Medium,No,No,Healthy,0,7,Yes,No
3078,Dog,4,German Shepherd Dog,Female,Black,Brown,Small,Medium,No,No,Minor Injury,30,3,No,No
3079,Dog,6,Mixed Breed,Male,White,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes,Yes
3080,Cat,3,Burmese,Female,Brown,Cream,Small,Short,Not Sure,Not Sure,Healthy,0,4,No,Yes
3081,Cat,12,Domestic Short Hair,Male,Black,Brown,Large,Short,Not Sure,No,Healthy,0,3,Yes,Yes
3082,Dog,60,Schnauzer,Female,Black,White,Small,Medium,Yes,No,Healthy,100,1,Yes,No
3083,Cat,2,Siamese,Female,Cream,No Color,Small,Short,No,No,Healthy,0,3,Yes,No
3084,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes,No
3085,Cat,22,Domestic Short Hair,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,4,No,Yes
3086,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,2,Yes,No
3087,Cat,4,Persian,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,4,Yes,No
3088,Dog,4,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes,Yes
3089,Dog,8,Corgi,Female,Black,No Color,Small,Short,Yes,No,Healthy,0,4,No,Yes
3090,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,6,Yes,Yes
3091,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,Yes,Yes
3092,Cat,1,Siamese,Male,Black,White,Small,Short,No,Not Sure,Healthy,0,2,No,Yes
3093,Cat,18,Domestic Medium Hair,Female,White,No Color,Large,Medium,Not Sure,No,Minor Injury,0,1,Yes,Yes
3094,Cat,8,Domestic Short Hair,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,30,2,Yes,Yes
3095,Dog,1,Mixed Breed,Female,Black,Golden,Medium,Medium,Yes,No,Healthy,0,7,Yes,No
3096,Cat,12,British Shorthair,Female,Gray,No Color,Medium,Medium,Yes,No,Healthy,160,3,Yes,No
3097,Dog,18,Terrier,Female,Black,Brown,Medium,Long,Yes,Yes,Healthy,300,2,Yes,No
3098,Cat,24,Domestic Medium Hair,Male,Cream,White,Medium,Medium,No,Yes,Healthy,200,3,Yes,Yes
3099,Cat,3,Domestic Short Hair,Female,Brown,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,0,No,Yes
3100,Dog,36,Mixed Breed,Female,Brown,Yellow,Small,Medium,Not Sure,Not Sure,Healthy,10,5,No,Yes
3101,Dog,4,Mixed Breed,Female,Black,Brown,Large,Short,No,No,Healthy,0,20,Yes,No
3102,Dog,120,Rottweiler,Male,Black,No Color,Large,Long,Yes,No,Healthy,0,2,Yes,No
3103,Cat,5,Domestic Medium Hair,Female,White,No Color,Small,Medium,Yes,No,Healthy,0,4,Yes,No
3104,Dog,24,Mixed Breed,Female,Brown,Cream,Small,Medium,Not Sure,Not Sure,Healthy,0,2,Yes,Yes
3105,Cat,2,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,4,Yes,No
3106,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,3,Yes,No
3107,Dog,4,Mixed Breed,Male,Black,No Color,Medium,Short,Yes,No,Healthy,0,2,Yes,Yes
3108,Cat,4,Domestic Long Hair,Male,Black,No Color,Small,Long,No,No,Healthy,0,5,Yes,No
3109,Dog,6,Mixed Breed,Female,White,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
3110,Dog,36,Beagle,Male,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
3111,Dog,60,Pit Bull Terrier,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,300,1,Yes,Yes
3112,Cat,2,Domestic Short Hair,Female,Brown,Yellow,Small,Short,Not Sure,Not Sure,Healthy,0,1,No,Yes
3113,Cat,60,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,Yes,Healthy,0,7,Yes,Yes
3114,Cat,2,Burmese,Female,Black,No Color,Medium,Medium,No,No,Healthy,150,4,Yes,No
3115,Dog,24,Poodle,Male,Cream,No Color,Small,Medium,Yes,Yes,Healthy,250,5,Yes,No
3116,Cat,24,Siamese,Female,Brown,Cream,Medium,Short,No,No,Healthy,100,8,Yes,No
3117,Cat,9,Domestic Short Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,1,No,Yes
3118,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,4,No,Yes
3119,Cat,2,Domestic Short Hair,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,100,8,Yes,No
3120,Dog,3,Mixed Breed,Male,Cream,No Color,Large,Short,No,No,Healthy,50,1,Yes,Yes
3121,Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Short,No,No,Healthy,0,4,Yes,No
3122,Cat,1,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,1,Yes,No
3123,Dog,48,Mixed Breed,Female,Cream,White,Medium,Short,Yes,Yes,Healthy,100,3,No,Yes
3124,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,2,No,Yes
3125,Cat,2,Domestic Short Hair,Female,Brown,Gray,Medium,Short,No,No,Healthy,0,1,Yes,No
3126,Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,5,Yes,Yes
3127,Cat,6,Siamese,Male,Golden,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,No
3128,Cat,4,Siamese,Female,White,No Color,Small,Short,Yes,No,Healthy,0,0,Yes,Yes
3129,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes,No
3130,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,9,No,No
3131,Cat,4,Persian,Female,White,No Color,Medium,Long,No,No,Healthy,300,4,Yes,No
3132,Dog,4,Mixed Breed,Female,Cream,No Color,Large,Short,Yes,Yes,Healthy,0,14,No,Yes
3133,Cat,2,Domestic Short Hair,Male,Black,No Color,Medium,Short,Yes,No,Healthy,0,3,Yes,No
3134,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,2,No,Yes
3135,Dog,2,Black Labrador Retriever,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,3,Yes,No
3136,Cat,14,Domestic Medium Hair,Female,Brown,No Color,Medium,Long,No,Not Sure,Healthy,0,1,No,Yes
3137,Dog,8,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Yes,Healthy,0,2,No,Yes
3138,Dog,24,Mixed Breed,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,5,Yes,Yes
3139,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
3140,Cat,4,Tabby,Male,Black,Yellow,Small,Medium,Yes,No,Healthy,0,1,Yes,Yes
3141,Cat,2,Domestic Short Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,0,9,Yes,No
3142,Cat,1,Tabby,Female,Black,White,Small,Short,No,No,Healthy,0,2,Yes,No
3143,Cat,3,Tabby,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,No,No
3144,Dog,2,Mixed Breed,Female,White,No Color,Medium,Short,No,No,Healthy,20,1,Yes,No
3145,Dog,9,Labrador Retriever,Male,Black,No Color,Large,Short,Not Sure,No,Healthy,0,5,Yes,No
3146,Dog,5,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,1,No,Yes
3147,Cat,6,Domestic Short Hair,Female,Cream,White,Medium,Medium,No,No,Minor Injury,0,1,Yes,Yes
3148,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,200,5,Yes,Yes
3149,Dog,11,Labrador Retriever,Male,Cream,No Color,Large,Medium,Yes,No,Healthy,0,4,Yes,No
3150,Dog,12,Mixed Breed,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes,Yes
3151,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,100,2,Yes,Yes
3152,Dog,3,Mixed Breed,Male,Black,Golden,Medium,Short,No,No,Healthy,0,4,Yes,No
3153,Dog,17,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,6,No,Yes
3154,Cat,3,Domestic Long Hair,Male,Brown,No Color,Medium,Long,Yes,No,Healthy,300,5,Yes,No
3155,Cat,6,Oriental Short Hair,Female,Yellow,No Color,Medium,Medium,No,No,Healthy,0,8,No,No
3156,Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,3,No,Yes
3157,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes,No
3158,Dog,8,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,6,Yes,Yes
3159,Dog,12,Shih Tzu,Male,White,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,3,Yes,No
3160,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
3161,Cat,20,Domestic Long Hair,Female,Cream,Gray,Large,Long,No,No,Healthy,0,3,Yes,No
3162,Cat,6,Persian,Female,Black,White,Medium,Long,Not Sure,Not Sure,Healthy,0,7,Yes,No
3163,Cat,1,Bombay,Male,Black,No Color,Medium,Short,Yes,No,Healthy,0,5,Yes,No
3164,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,Yes,No
3165,Cat,3,Domestic Short Hair,Male,Brown,Cream,Small,Short,No,No,Minor Injury,0,4,Yes,Yes
3166,Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,4,Yes,No
3167,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,100,6,No,No
3168,Dog,3,Mixed Breed,Female,Brown,No Color,Large,Short,Yes,No,Healthy,0,3,Yes,Yes
3169,Dog,3,Mixed Breed,Male,Brown,Cream,Small,Short,No,No,Healthy,0,5,Yes,No
3170,Dog,3,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,5,Yes,No
3171,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,1,Yes,No
3172,Dog,3,Mixed Breed,Female,Golden,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,3,No,Yes
3173,Cat,2,Domestic Medium Hair,Male,Black,Gray,Medium,Medium,No,No,Healthy,0,1,Yes,No
3174,Dog,1,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,3,Yes,No
3175,Dog,2,Terrier,Female,Cream,No Color,Medium,Medium,Yes,Not Sure,Healthy,250,5,Yes,No
3176,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,7,Yes,No
3177,Dog,2,Terrier,Female,Black,Brown,Small,Medium,Yes,No,Healthy,0,4,Yes,No
3178,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,4,No,Yes
3179,Dog,1,Rottweiler,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,2,Yes,No
3180,Dog,2,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,No
3181,Cat,2,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,15,Yes,No
3182,Cat,8,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,No,Healthy,0,4,Yes,Yes
3183,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,4,Yes,Yes
3184,Dog,3,German Shepherd Dog,Female,Black,Brown,Medium,Medium,Not Sure,No,Healthy,0,3,Yes,No
3185,Dog,2,Black Labrador Retriever,Female,Black,White,Medium,Short,Yes,No,Healthy,0,4,Yes,No
3186,Dog,72,Terrier,Female,Brown,Cream,Medium,Medium,Yes,Yes,Healthy,0,3,Yes,Yes
3187,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,2,Yes,No
3188,Cat,2,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,Not Sure,Healthy,5,3,Yes,No
3189,Dog,24,Border Collie,Male,Black,White,Medium,Long,Not Sure,Yes,Healthy,0,3,Yes,No
3190,Cat,6,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,30,5,Yes,Yes
3191,Dog,2,Labrador Retriever,Male,Black,No Color,Large,Medium,Not Sure,Not Sure,Healthy,0,3,Yes,No
3192,Dog,24,Golden Retriever,Female,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes,No
3193,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,80,1,Yes,Yes
3194,Dog,33,Siberian Husky,Female,Golden,Yellow,Medium,Medium,Yes,Yes,Healthy,10,4,No,Yes
3195,Dog,30,Mixed Breed,Female,Black,Cream,Medium,Short,Yes,Yes,Healthy,0,1,Yes,Yes
3196,Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,50,2,No,Yes
3197,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
3198,Dog,12,Schnauzer,Male,Brown,No Color,Small,Short,Yes,No,Healthy,0,4,No,No
3199,Cat,3,Domestic Short Hair,Female,Brown,Gray,Medium,Short,No,No,Healthy,0,3,Yes,No
3200,Cat,8,Domestic Short Hair,Male,Brown,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,2,No,Yes
3201,Dog,84,Jack Russell Terrier,Female,Brown,White,Small,Short,Yes,Yes,Healthy,0,3,Yes,Yes
3202,Cat,4,Domestic Short Hair,Female,Black,Golden,Medium,Medium,No,No,Healthy,0,11,Yes,No
3203,Cat,2,Domestic Short Hair,Male,Golden,White,Medium,Short,No,No,Healthy,0,4,Yes,No
3204,Dog,12,Mixed Breed,Male,Yellow,No Color,Medium,Short,Yes,No,Healthy,0,3,No,Yes
3205,Cat,5,Domestic Medium Hair,Male,Black,White,Medium,Medium,Not Sure,Yes,Healthy,0,5,No,Yes
3206,Dog,60,Maltese,Male,White,No Color,Small,Long,Yes,Yes,Healthy,0,5,Yes,No
3207,Dog,42,Mixed Breed,Female,Black,Brown,Small,Short,Yes,Yes,Healthy,0,1,No,Yes
3208,Dog,1,Mixed Breed,Male,Black,White,Medium,Medium,No,Not Sure,Healthy,0,1,Yes,Yes
3209,Dog,4,Mixed Breed,Male,Black,No Color,Medium,Short,Yes,No,Healthy,50,5,Yes,Yes
3210,Dog,48,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,3,No,Yes
3211,Cat,20,Domestic Short Hair,Female,Black,Gray,Large,Medium,No,Yes,Healthy,0,4,No,Yes
3212,Cat,84,Domestic Short Hair,Male,Golden,No Color,Large,Short,Yes,Yes,Healthy,0,5,Yes,Yes
3213,Cat,84,Oriental Short Hair,Male,Gray,White,Large,Short,Yes,Yes,Healthy,0,5,No,Yes
3214,Cat,1,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,5,Yes,No
3215,Dog,72,Labrador Retriever,Female,Black,No Color,Large,Medium,Not Sure,Yes,Healthy,0,2,Yes,Yes
3216,Cat,7,Persian,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,0,5,No,No
3217,Cat,5,Domestic Medium Hair,Male,Yellow,White,Medium,Short,Yes,No,Minor Injury,0,9,Yes,No
3218,Cat,3,Siamese,Male,Brown,Cream,Medium,Medium,No,No,Healthy,80,4,Yes,No
3219,Dog,60,Beagle,Male,Black,Brown,Large,Short,Not Sure,Yes,Healthy,0,5,Yes,Yes
3220,Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,Not Sure,Yes,Healthy,0,3,No,Yes
3221,Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,No,Yes
3222,Cat,2,Tuxedo,Male,Black,White,Medium,Medium,No,Not Sure,Healthy,0,1,Yes,No
3223,Dog,2,Mixed Breed,Female,Brown,Yellow,Medium,Short,Yes,No,Healthy,0,1,Yes,No
3224,Dog,3,Mixed Breed,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,4,Yes,No
3225,Cat,1,Terrier,Male,Brown,White,Large,Long,No,No,Healthy,25,3,Yes,No
3226,Cat,2,Domestic Short Hair,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,2,Yes,No
3227,Dog,4,Miniature Pinscher,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,11,Yes,Yes
3228,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,2,Yes,No
3229,Cat,48,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,Yes,Yes,Healthy,0,9,No,Yes
3230,Cat,3,Domestic Long Hair,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,4,Yes,No
3231,Cat,5,Tuxedo,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,6,Yes,Yes
3232,Dog,12,Mixed Breed,Male,Golden,Cream,Medium,Short,Yes,Yes,Healthy,0,1,No,Yes
3233,Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,3,Yes,No
3234,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,3,No,Yes
3235,Dog,9,Pointer,Female,Black,Yellow,Medium,Short,No,Yes,Healthy,0,2,No,Yes
3236,Dog,3,Doberman Pinscher,Male,Black,Golden,Large,Medium,Not Sure,No,Healthy,0,2,Yes,No
3237,Dog,4,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
3238,Dog,3,Mixed Breed,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,8,Yes,No
3239,Cat,24,Domestic Short Hair,Female,Black,Brown,Small,Short,No,Yes,Healthy,0,2,No,Yes
3240,Cat,24,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Not Sure,No,Healthy,50,1,No,Yes
3241,Cat,6,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,0,7,Yes,No
3242,Dog,60,Mixed Breed,Male,Black,Cream,Medium,Short,Yes,Yes,Healthy,0,3,No,Yes
3243,Dog,8,Mixed Breed,Male,Golden,Cream,Medium,Short,Yes,No,Healthy,0,5,Yes,Yes
3244,Cat,5,Tabby,Female,White,No Color,Medium,Short,Yes,No,Healthy,0,5,Yes,No
3245,Dog,4,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
3246,Cat,10,Domestic Long Hair,Female,Black,Gray,Large,Long,No,No,Healthy,0,3,Yes,No
3247,Dog,3,Mixed Breed,Female,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
3248,Dog,3,Mixed Breed,Female,Brown,Cream,Medium,Medium,Yes,No,Healthy,0,22,Yes,No
3249,Cat,3,Domestic Short Hair,Female,Brown,Yellow,Small,Short,No,No,Healthy,0,1,Yes,Yes
3250,Cat,3,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,16,Yes,No
3251,Dog,5,Mixed Breed,Female,Brown,Yellow,Medium,Short,Not Sure,Not Sure,Healthy,0,2,No,Yes
3252,Cat,2,Siamese,Male,Brown,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,3,Yes,No
3253,Cat,8,Domestic Medium Hair,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,2,No,Yes
3254,Dog,24,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Serious Injury,0,5,No,Yes
3255,Cat,4,Domestic Short Hair,Female,Black,White,Small,Short,No,No,Healthy,0,3,No,Yes
3256,Cat,5,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,100,4,No,Yes
3257,Dog,24,Mixed Breed,Male,Black,Yellow,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,No,Yes
3258,Cat,3,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,3,Yes,No
3259,Cat,1,Domestic Medium Hair,Male,White,No Color,Small,Medium,No,No,Minor Injury,0,2,Yes,No
3260,Cat,1,Domestic Medium Hair,Female,Golden,White,Small,Medium,No,No,Healthy,0,1,Yes,No
3261,Dog,5,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,3,No,Yes
3262,Cat,7,Domestic Long Hair,Male,Cream,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
3263,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,7,Yes,No
3264,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,5,Yes,No
3265,Cat,3,Tabby,Male,Brown,No Color,Small,Short,Yes,No,Healthy,0,1,Yes,Yes
3266,Cat,3,Domestic Short Hair,Male,White,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
3267,Cat,7,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,Yes,Healthy,0,1,Yes,Yes
3268,Dog,12,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Not Sure,Healthy,0,1,No,Yes
3269,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,3,Yes,No
3270,Dog,3,Mixed Breed,Female,Black,White,Medium,Short,Not Sure,No,Healthy,0,9,Yes,No
3271,Cat,2,Domestic Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,0,2,Yes,No
3272,Dog,6,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,1,No,Yes
3273,Dog,75,Rottweiler,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes,Yes
